name,category,address,coordinates,website,country_code,related_store_external_id
Wat Buddharama,Temple,Stockholm,"59.341669007864546, 18.07447138595749",www.stm-society.com,SE,SE10-B28
Thai Cultural Center Berlin,Partner,Berlin,"52.587079704479414, 13.44507690126261",www.stm-society.com,DE,DE07-B29
Parc de Choisy,Partner,Parlis,"48.828473056661814, 2.3597887105012014",www.stm-society.com,FR,FR02-B30
Thai Community NL,Partner,Amsterdam,"52.363629999778944, 4.870507776469321",www.stm-society.com,NL,NL01-B31
Wat Buddhapadipa,Temple,London,"51.43088165162572, -0.22046891634624818",www.stm-society.com,UK,UK05-B32
Wat Buddharama,Temple,Stockholm,"64.07699058241339, 18.356966769057436",www.stm-society.com,SE,SE11-B33
Thai Embassy Brussels,Partner,Brussels,"50.805445795509925, 4.372424941291548",www.stm-society.com,BE,BE01-B34
Thai Association Frankfurt,Partner,Frankfurt,"50.0967007997256, 8.667412749622773",www.stm-society.com,DE,DE08-B35
Local Sports Hall,Partner,Copenhagen,"55.70864434750829, 12.573236818972948",www.stm-society.com,DK,DK03-B36
Thai Buddhist Center,Temple,Uppsala,"59.77267290107542, 17.420622312969066",www.stm-society.com,SE,SE12-B37
Thai Community Oslo,Partner,Oslo,"59.92033949235989, 10.759542638113242",www.stm-society.com,NO,NO02-B38
Street Food Market Berlin,Market,Berlin,"52.50438116393478, 13.431956743947426",www.stm-society.com,DE,DE09-B39
Wat Buddhapadipa,Temple,London,"51.43088165162572, -0.22046891634624818",www.stm-society.com,UK,UK06-B40
Wat Buddharama,Temple,Stockholm,"64.07699058241339, 18.356966769057436",www.stm-society.com,SE,SE13-B41
Community Cinema Paris,Partner,Parlis,"48.852074783971176, 2.336882961276739",www.stm-society.com,FR,FR03-B42
Thai Wellness Center,Partner,Munich,"48.16149984124898, 11.589081089867474",www.stm-society.com,DE,DE10-B43
Thai School Zurich,Partner,Zurich,"47.37226181414677, 8.528715232127071",www.stm-society.com,CH,CH02-B43
Thai Buddhist Group Helsinki,Partner,Helsinki,"60.69526218514592, 24.864070272686337",www.stm-society.com,FI,FI01-B44
Thai Market Rotterdam,Market,Rotterdam,"51.93125099701408, 4.485594426009463",www.stm-society.com,NL,NL01-B45
Community Hall Stockholm,Partner,Stockholm,"59.32993724402374, 18.05573955113818",www.stm-society.com,SE,SE14-B46
Art Center Vienna,Partner,Vienna,"48.21346449567577, 16.392055662224934",www.stm-society.com,AT,AT01-B47
Wat Buddhapadipa,Temple,London,"51.43088165162572, -0.22046891634624818",www.stm-society.com,UK,UK07-B48
Thai Community Malmo,Partner,Malmö,"55.58421652699268, 13.003225802753775",www.stm-society.com,SE,SE15-B49
Thai Association Barcelona,Partner,Barcelona,"41.479749131249086, 2.1389848007171284",www.stm-society.com,ES,ES01-B50
Community Theater Prague,Partner,Prague,"50.07725645097472, 14.44719533810361",www.stm-society.com,CZ,CZ01-B51
Wat Buddhapadipa,Temple,London,"51.43088165162572, -0.22046891634624818",www.stm-society.com,UK,UK08-B52
Wat Buddharama,Temple,Stockholm,"64.07699058241339, 18.356966769057436",www.stm-society.com,SE,SE16-B53
Thai Community NL,Partner,Amsterdam,"52.363629999778944, 4.870507776469321",www.stm-society.com,NL,NL02-B54
Parc de Choisy,Partner,Parlis,"48.82843067889237, 2.360561186675394",www.stm-society.com,FR,FR04-B55
Thai Cultural Center Berlin,Partner,Berlin,"52.587079704479414, 13.44507690126261",www.stm-society.com,DE,DE11-B56
